app,workload,vus,run,throughput,avg,p95,p99,error_rate
webflux,io,200,1,949.0277277496289,184.326304493881,204.9283842,210.62790399999997,0
mvc,io,300,2,973.8602410676252,282.3148558070055,473.9051192999999,760.4597312,0
webflux,cpu,40,1,33.752878520545075,1040.3160711896107,1421.011248,1538.17396,0
mvc,io,300,1,969.5211523512695,283.57752870924253,610.558741,912.741164,0
mvc,cpu,30,1,41.116961872761074,640.3497302702386,921.8100134,1007.6871593999999,0
webflux,cpu,50,2,33.76850450616952,1299.919287839757,1775.8136785,1894.36598915,0
webflux,cpu,100,1,33.82594022054865,2598.500046212938,3310.8972596999997,3551.0369517599997,0
mvc,cpu,20,3,41.23021558276837,426.0361278888444,567.9299277499999,607.3722206499997,0
webflux,io,100,1,918.4266088859357,95.20378463633523,102.89497779999999,107.44566256,0
webflux,cpu,20,3,33.64872288249162,522.1959881433869,721.6751957500001,830.98026375,0
webflux,cpu,10,2,33.42058621775902,263.5953148331886,360.219287,477.246231,0
webflux,io,800,1,974.1428362173523,753.1117212299098,824.8599964,829.11371756,0
mvc,io,50,3,858.1453023983127,50.90366690273755,51.431595800000004,53.02081656,0
mvc,cpu,75,3,41.25321058294575,1596.2738756968065,2447.532279,2738.713261,0
mvc,io,800,1,980.2809159039621,748.4135131849265,1117.6455474,1272.54798592,0
mvc,io,600,1,976.1081543191493,563.6184300940532,915.9428174,1218.65923892,0
webflux,io,300,3,972.2503871901018,282.7742991365938,306.1575499,310.60907143,0
mvc,io,600,2,982.0312477588988,560.2256539844122,761.1531274,915.48549556,0
mvc,cpu,50,3,41.3153032673397,1061.741492477909,1592.4688285,1776.4110079000004,0
webflux,io,100,2,918.4870127897475,95.19402939159745,102.85710900000001,106.872755,0
mvc,io,100,3,927.8056670346721,94.21756071469171,151.0149912,201.0412726,0
webflux,io,300,2,972.0715940613553,282.8254217991205,306.10298405,310.64222678,0
webflux,io,200,2,949.2852934737256,184.28288725645496,204.93615515000002,211.17701010999997,0
webflux,io,400,3,976.0143920863635,375.66076444057313,408.00043,413.20731,0
webflux,cpu,75,2,33.744718419085004,1952.3614794245002,2608.0703227999998,2844.78637266,0
webflux,io,800,3,981.8036402194734,747.2292359233991,816.4757394999999,822.143193,0
webflux,cpu,100,2,33.80219804622956,2601.5802551226593,3314.6896712,3548.4532140399997,0
mvc,cpu,40,2,41.17878687303855,852.4101393899275,1249.4839482500001,1388.7471767,0
mvc,cpu,20,1,40.99818882666584,428.3206644230265,583.224055,634.2076068,0
mvc,cpu,100,1,40.88621598269724,2148.3518250562465,3478.220258999999,3934.005077559998,0
webflux,io,250,1,955.1267171246604,229.00970448246642,256.0924003,261.34609694,0
mvc,io,50,1,852.2266283622724,51.251528509040824,52.05209625,56.02281924999996,0
webflux,cpu,20,1,33.64413914778381,522.2109050536161,718.92452025,830.5817235,0
webflux,cpu,30,2,33.677037310738264,782.0566073248375,1076.0197905,1310.19980413,0
webflux,io,150,2,938.9295506184761,139.72243267974497,153.86936465000002,158.22996331999994,0
webflux,io,50,1,845.6952767510526,51.65806707170175,52.6154569,56.37765791999999,0
webflux,io,400,1,969.7126982093608,378.08020692334804,409.62344475,417.3009007,0
webflux,io,300,1,966.2197025091647,284.5485477152691,307.1971832,312.84475186000003,0
mvc,io,500,2,981.118735686913,467.16907757527946,658.2748505,811.882792,0
mvc,cpu,30,3,41.15046830090558,639.658476939858,900.4156821999994,990.52017412,0
webflux,io,800,2,981.5633723650601,747.4522736945693,816.3086772500001,823.53724345,0
mvc,io,150,1,942.899154402663,139.11919077864562,301.5048522999999,454.66334064,0
webflux,cpu,40,2,33.761127331785104,1040.0604589766808,1420.9061702000001,1542.14176784,0
webflux,io,400,2,975.3248171796178,375.8998071016872,408.17449999999997,414.06732954,0
mvc,io,50,2,851.7012319010255,51.27389607798428,52.07466915,56.026139670000006,0
webflux,io,50,3,854.2156615115972,51.159722205245025,51.7923951,53.31674512,0
webflux,io,600,3,979.9366358454321,561.4054696511757,612.1221495,619.40237375,0
webflux,io,150,3,945.5327371682224,138.74642467750732,152.98265279999998,155.5908892,0
